,Company ID,Industry
1130,58312,furniture and home furnishings manufacturing
1131,138636,business consulting and services
1132,2630426,human resources services
1133,5931,higher education
1134,819477,software development
1135,632812,advertising services
1136,2572924,software development
1137,787739,construction
1138,111925,software development
1139,3547286,consumer services
1140,429378,translation and localization
1141,4975992,"technology, information and internet"
1142,86089,it services and it consulting
1143,1145957,aviation and aerospace component manufacturing
1144,2252405,market research
1145,205569,financial services
1146,8437227,retail apparel and fashion
1147,2283166,medical equipment manufacturing
1148,215863,it services and it consulting
1149,86975,software development
1150,137550,advertising services
1151,368975,software development
1152,810584,advertising services
1153,45029,software development
1154,298308,government administration
1155,3963828,it services and it consulting
1156,2753354,financial services
1157,738890,computer and network security
1158,58056,travel arrangements
1159,2402120,it services and it consulting
1160,10988993,human resources services
1161,822833,advertising services
1162,893781,architecture and planning
1163,104700,truck transportation
1164,1491849,staffing and recruiting
1165,281737,it services and it consulting
1166,228259,it services and it consulting
